Country,Lat,Lon
Ivory Coast,6.82055,-5.27674
Laos,17.96667,102.6
Madagascar,-18.91368,47.53613
Mali,12.65,-8.0
Micronesia,6.92477,158.16109
Niger,13.51366,2.1098
North Korea,39.03385,125.75431999999999
Republic of the Congo,-4.26613,15.283179999999998
South Korea,37.566,126.9784
Philippines,14.6042,120.9822
Poland,52.22977,21.011779999999998
Taiwan,25.04776,121.53185
Vietnam,21.0245,105.84116999999999
Andorra,42.50779,1.52109
France,48.85341,2.3488
Haiti,18.539170000000002,-72.335
Monaco,43.73333,7.41667
Luxembourg,49.611670000000004,6.13
Belgium,50.85045,4.3487800000000005
Netherlands,52.37403,4.88969
Dominican Republic,18.500120000000006,-69.98857
El Salvador,13.68935,-89.18718
Brazil,-15.779720000000001,-47.92972
Bolivia,-19.03332,-65.26274000000001
Argentina,-34.61315,-58.377230000000004
Turkey,39.91987,32.85427
San Marino,43.93667,12.44639
Suriname,5.86638,-55.166819999999994
Guatemala,14.640720000000002,-90.51326999999999
Mexico,19.42847,-99.12765999999999
Japan,35.6895,139.69171
Paraguay,-25.30066,-57.635909999999996
Italy,41.89193,12.511330000000001
Vatican City,41.902359999999994,12.45332
Honduras,14.0818,-87.20681
Peru,-12.04318,-77.02824
Denmark,55.675940000000004,12.56553
Greenland,64.166666,-51.7333304
Uruguay,-34.90328,-56.188159999999996
Iceland,64.13548,-21.895410000000002
Switzerland,46.202220000000004,6.14569
Sweden,59.33258000000001,18.0649
Greece,37.97945,23.71622
Jordan,31.95522,35.945029999999996
West Bank,31.4167,34.3333
Thailand,13.753979999999999,100.50144
Hungary,47.49801,19.03991
Czech Republic,50.08804,14.420760000000001
Slovakia,48.14816,17.10674
United Kingdom,51.50853,-0.12574000000000002
Bulgaria,42.69751,23.32415
Canada,45.41117,-75.69811999999997
Germany,52.52437,13.41053
Austria,48.20849000000001,16.37208
Costa Rica,9.934739,-84.087502
Finland,60.16952,24.93545
Norway,59.91273,10.746089999999999
Malta,35.89972,14.51472
East Timor,-8.55861,125.57361000000002
Australia,-35.28346,149.12807
Bahrain,26.215359999999997,50.5832
Croatia,45.81444000000001,15.977979999999999
Montenegro,42.441109999999995,19.26361
Slovenia,48.14816,17.10674
Cuba,23.133020000000002,-82.38304000000002
Spain,40.4165,-3.70256
Colombia,4.60971,-74.08175
Portugal,38.71667,-9.13333
New Zealand,-41.28664000000001,174.77557
Israel,32.08088,34.780570000000004
Liechtenstein,47.14151,9.52154
The Bahamas,25.05823,-77.34306
Ukraine,50.45466,30.5238
Estonia,59.43696,24.753529999999998
Latvia,56.94600000000001,24.10589
Guinea Bissau,11.86357,-15.59767
Ireland,53.333059999999996,-6.24889
Lithuania,54.68916,25.2798
Mongolia,47.907709999999994,106.88323999999999
Russia,55.752219999999994,37.615559999999995
Kosovo,42.67272,21.16688
Belarus,53.9,27.566670000000002
Serbia,44.80401,20.46513
Albania,41.3275,19.81889
Moldova,47.005559999999996,28.8575
Bosnia and Herzegovina,43.84864,18.35644
Macedonia,41.99646,21.43141
Romania,44.43225,26.10626
China,39.9075,116.39723000000001
Ecuador,-0.22985,-78.52495
Venezuela,10.488010000000001,-66.87919000000001
Cyprus,35.16667,33.36667
Kazakhstan,51.1801,71.44598
Kyrgyzstan,42.87,74.59
South Africa,-25.74486,28.187829999999998
Tajikistan,38.8610344,71.2760925
Chile,-33.45694,-70.64827
Azerbaijan,40.37767,49.89201
Georgia,41.694109999999995,44.83368
Armenia,40.18111,44.51361
United States,38.895109999999995,-77.03636999999998
Cape Verde,14.93152,-23.512539999999998
Marshall Islands,7.08971,171.38027
Nepal,27.70169000000001,85.3206
Vanuatu,-17.733810000000005,168.32188
Nicaragua,12.132819999999999,-86.2504
Panama,8.9936,-79.51973000000002
Fiji,-18.14161,178.44149
Lesotho,-29.316670000000002,27.48333
Sao Tome and Principe,6.72732,0.0
Northern Cyprus,0.0,0.0
Palau,7.500331332000001,134.621164182
Mozambique,-25.965529999999998,32.583220000000004
Belize,17.25,-88.76666999999998
Nauru,-0.55085,166.9252
Seychelles,-4.61667,55.45
India,28.653809999999996,77.22896999999998
Trinidad and Tobago,10.66668,-61.51889
Angola,-8.83682,13.23432
Botswana,-24.654510000000002,25.90859
Antigua and Barbuda,17.11717,-61.84573
Barbados,13.113222,-59.598808
Dominica,15.301739999999999,-61.38808
Grenada,12.05644,-61.748490000000004
Guyana,6.8045,-58.1553
St Kitts and Nevis,17.29484,-62.7261
St Lucia,13.9957,-61.00614
St Vincent and the Grenadines,13.15872,-61.22475
Algeria,36.7525,3.04197
Burundi,-3.4264,29.9308
Cameroon,3.8666699999999996,11.51667
Chad,12.10672,15.0444
Comoros,-11.702160000000001,43.25506
Egypt,30.06263,31.249670000000002
Eritrea,15.33805,38.93184
Ethiopia,9.02497,38.74689
Gambia,13.452739999999999,-16.57803
Ghana,5.5560199999999975,-0.1969
Guinea,9.53795,-13.67729
Kenya,-1.286389,36.817223
Liberia,6.30054,-10.7969
Libya,32.87519,13.18746
Malawi,-13.966920000000002,33.78725
Mauritania,18.085810000000002,-15.9785
Mauritius,-20.161939999999998,57.49889
Morocco,34.01325,-6.83255
Namibia,-22.55941,17.08323
Nigeria,9.05785,7.4950800000000015
Senegal,14.6937,-17.44406
Sierra Leone,8.484444,-13.234444
Somalia,2.0371099999999998,45.34375
South Sudan,4.85165,31.58247
Sudan,15.551770000000001,32.53241
Swaziland,-26.316670000000002,31.133329999999997
United Republic of Tanzania,-6.1611839999999995,35.745426
Togo,6.13748,1.2122700000000002
Tunisia,36.81897,10.16579
Uganda,0.31628,32.582190000000004
Zambia,-15.40669,28.287129999999998
Zimbabwe,-17.824858,31.053028
Jamaica,17.9970207,-76.7935791
Djibouti,11.58901,43.14503
Republic of the Congo,-4.26613,15.283179999999998
Democratic Republic of the Congo,-4.32758,15.31357
Gabon,0.39241,9.453560000000001
Benin,6.49646,2.60359
Burkina Faso,12.36566,-1.53388
Saudi Arabia,24.68773,46.72185
Afghanistan,34.52813,69.17233
Bangladesh,23.7104,90.40744000000001
Bhutan,27.472792,89.639286
Brunei,4.94029,114.94806000000001
Indonesia,-6.21462,106.84513000000001
Iran,35.69439000000001,51.42151
Iraq,33.340579999999996,44.40088
Kuwait,29.36972,47.97833
Lebanon,33.888940000000005,35.49442
Malaysia,3.1412,101.68653
Maldives,4.1748,73.50888
Myanmar,19.745,96.12971999999999
Oman,23.613870000000002,58.5922
Pakistan,33.72148,73.04329
Qatar,25.279320000000002,51.52245
Singapore,1.28967,103.85007
Sri Lanka,6.882969999999999,79.90708000000002
Syria,33.5102,36.29128
Turkmenistan,37.95,58.38333000000001
United Arab Emirates,24.46667,54.36666999999999
Uzbekistan,41.26465,69.21627
Yemen,15.369445,44.191006
Cook Islands,-21.20778,-159.775
Kiribati,1.3278,172.97696000000005
Papua New Guinea,-9.44314,147.17972
Samoa,-13.833329999999998,-171.76666
Solomon Islands,-9.43333,159.95
Tonga,-21.13938,-175.2018
Tuvalu,-8.52425,179.19416999999999
Central African Republic,4.361219999999999,18.55496
Somaliland,9.56,44.065
Cambodia,11.56245,104.91601000000001
